insn,mode,CONDITIONS,Ptype,Etype,SM,0,1,2,3,in1,in2,in3,out,CR in,CR out,out2
mcrf,NORMAL,,2P,EXTRA3,1,d:BF,s:BFA,0,0,0,0,0,0,BFA,BF,0
bclr,BRANCH,,2P,EXTRA3,1,d:BI,s:BI,0,0,SPR,SPR,0,SPR,BI,0,0
mfcr/mfocrf,NORMAL,,2P,EXTRA3,1,d:RT,s:CR,0,0,0,0,0,RT,WHOLE_REG,0,0
setb,NORMAL,,2P,EXTRA3,1,d:RT,s:BFA,0,0,0,0,0,RT,BFA,0,0
bc,BRANCH,,2P,EXTRA3,1,d:BI,s:BI,0,0,SPR,0,0,SPR,BI,0,0
5/0=ftsqrt,NORMAL,,2P,EXTRA3,1,d:BF,s:FRB,0,0,0,FRB,0,0,0,BF,0
22/7=mtfsf,NORMAL,,2P,EXTRA3,1,d:CR1,s:FRB,0,0,0,FRB,0,0,0,CR1,0
cmpli,NORMAL,,2P,EXTRA3,1,d:BF,s:RA,0,0,RA,0,0,0,0,BF,0
cmpi,NORMAL,,2P,EXTRA3,1,d:BF,s:RA,0,0,RA,0,0,0,0,BF,0
neg,NORMAL,,2P,EXTRA3,1,d:RT,s:RA,0,0,RA,0,0,RT,0,0,0
popcntb,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
prtyw,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
prtyd,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
cdtbcd,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
cbcdtd,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
mfspr,NORMAL,,2P,EXTRA3,1,d:RS,s:SPR,0,0,SPR,0,0,RT,0,0,0
popcntw,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
mtspr,NORMAL,,2P,EXTRA3,1,d:SPR,s:RS,0,0,RS,0,0,SPR,0,0,0
popcntd,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
nego,NORMAL,,2P,EXTRA3,1,d:RT,s:RA,0,0,RA,0,0,RT,0,0,0
addic,NORMAL,,2P,EXTRA3,1,d:RT,s:RA,0,0,RA,0,0,RT,0,0,0
addi,NORMAL,,2P,EXTRA3,1,d:RT,s:RA,0,0,RA_OR_ZERO,0,0,RT,0,0,0
addis,NORMAL,,2P,EXTRA3,1,d:RT,s:RA,0,0,RA_OR_ZERO,0,0,RT,0,0,0
ori,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
oris,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
xori,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
xoris,NORMAL,,2P,EXTRA3,1,d:RA,s:RS,0,0,RS,0,0,RA,0,0,0
subfic,NORMAL,,2P,EXTRA3,1,d:RT,s:RA,0,0,RA,0,0,RT,0,0,0
fishmv,NORMAL,,2P,EXTRA3,1,d:FRS,s:FRS,0,0,FRS,0,0,FRS,0,0,0
setvl,NORMAL,,2P,EXTRA3,1,d:RT,s:RA,0,0,RA_OR_ZERO,0,0,RT_OR_ZERO,0,CR0,0
cntlzw,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
cntlzd,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
subfze,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
addze,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
cnttzw,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
cnttzd,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
subfzeo,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
addzeo,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
extsh,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
extsb,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
extsw,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
fsqrts,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fres,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
frsqrtes,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcbrts,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fsinpis,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fasinpis,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcospis,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
