insn,mode,CONDITIONS,Ptype,Etype,SM,0,1,2,3,in1,in2,in3,out,CR in,CR out,out2
ftanpis,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
facospis,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fatanpis,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
frsqrts,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fsins,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fasins,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcoss,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
ftans,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
facoss,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fatans,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
frecips,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fsinhs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fasinhs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcoshs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
ftanhs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
facoshs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fatanhs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp2m1s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog2p1s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexpm1s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flogp1s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp10m1s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog10p1s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcfids,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp2s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog2s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexps,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flogs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp10s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog10s,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcfidus,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fsqrt,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fre,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
frsqrte,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
0/12=frsp,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
0/14=fctiw,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
0/15=fctiwz,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
1/8=fneg,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
2/8=fmr,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
4/8=fnabs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
4/14=fctiwu,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
4/15=fctiwuz,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
8/8=fabs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
12/8=frin,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
13/8=friz,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
14/8=frip,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
15/8=frim,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcbrt,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fsinpi,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fasinpi,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcospi,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
ftanpi,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
facospi,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fatanpi,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
18/7=mffs,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
frsqrt,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fsin,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fasin,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcos,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
ftan,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
facos,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fatan,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
frecip,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fsinh,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fasinh,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fcosh,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
ftanh,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
facosh,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fatanh,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp2m1,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog2p1,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexpm1,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flogp1,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
25/14=fctid,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
25/15=fctidz,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp10m1,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog10p1,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
26/14=fcfid,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp2,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog2,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
29/14=fctidu,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
29/15=fctiduz,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
fexp10,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
flog10,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
30/14=fcfidu,NORMAL,,2P,EXTRA3,1,d:FRT;d:CR1,s:FRB,0,0,0,FRB,0,FRT,0,CR1,0
addic.,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
rlwinm,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
andi.,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
andis.,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,RS,0,0,RA,0,CR0,0
mulli,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
rldicl,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
rldicr,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
rldic,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
subfme,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
addme,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
subfmeo,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
addmeo,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
srawi,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
sradi,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
sradi,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
extswsli,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
extswsli,NORMAL,,2P,EXTRA3,1,d:RA;d:CR0,s:RS,0,0,0,0,RS,RA,0,CR0,0
grevi,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
grevwi,NORMAL,,2P,EXTRA3,1,d:RT;d:CR0,s:RA,0,0,RA,0,0,RT,0,CR0,0
