insn,mode,CONDITIONS,Ptype,Etype,SM,0,1,2,3,in1,in2,in3,out,CR in,CR out,out2
bc,BRANCH,,2P,EXTRA3,NO,s:BI,0,0,0,0,0,0,0,BI,0,0
bclr,BRANCH,,2P,EXTRA3,NO,s:BI,0,0,0,0,0,0,0,BI,0,0
